GRID_ID,topic,x_label,y_label,x_val,y_val,bivar_class,color
L-21,Free Time,Activity (per capita),NDVI,0.0,0.648,1-3,#5ac8c8
AH-9,Free Time,Activity (per capita),NDVI,26.68,0.437,2-1,#dfb0d6
P-21,Free Time,Activity (per capita),NDVI,0.0,0.537,1-2,#ace4e4
AH-19,Free Time,Activity (per capita),NDVI,7.73,0.595,1-2,#ace4e4
T-17,Free Time,Activity (per capita),NDVI,3.92,0.522,1-2,#ace4e4
J-8,Free Time,Activity (per capita),NDVI,28.66,0.739,2-3,#5698b9
AF-9,Free Time,Activity (per capita),NDVI,32.72,0.398,2-1,#dfb0d6
AC-10,Free Time,Activity (per capita),NDVI,1626.04,0.694,3-3,#3b4994
Z-3,Free Time,Activity (per capita),NDVI,0.0,0.621,1-3,#5ac8c8
U-4,Free Time,Activity (per capita),NDVI,59.4,0.522,2-2,#a5b4c2
AE-18,Free Time,Activity (per capita),NDVI,4.45,0.614,1-3,#5ac8c8
M-20,Free Time,Activity (per capita),NDVI,10.48,0.616,1-3,#5ac8c8
Q-6,Free Time,Activity (per capita),NDVI,1021.61,0.624,3-3,#3b4994
L-24,Free Time,Activity (per capita),NDVI,42.6,0.649,2-3,#5698b9
AA-3,Free Time,Activity (per capita),NDVI,36.46,0.576,2-2,#a5b4c2
AD-11,Free Time,Activity (per capita),NDVI,605.02,0.645,3-3,#3b4994
X-10,Free Time,Activity (per capita),NDVI,7.88,0.268,1-1,#e8e8e8
V-24,Free Time,Activity (per capita),NDVI,0.0,0.656,1-3,#5ac8c8
N-19,Free Time,Activity (per capita),NDVI,0.0,0.587,1-2,#ace4e4
G-16,Free Time,Activity (per capita),NDVI,0.0,0.578,1-2,#ace4e4
U-16,Free Time,Activity (per capita),NDVI,16.29,0.502,2-1,#dfb0d6
Z-12,Free Time,Activity (per capita),NDVI,11.18,0.425,1-1,#e8e8e8
M-9,Free Time,Activity (per capita),NDVI,61.3,0.788,2-3,#5698b9
J-16,Free Time,Activity (per capita),NDVI,24.08,0.414,2-1,#dfb0d6
G-10,Free Time,Activity (per capita),NDVI,0.0,0.476,1-1,#e8e8e8
AB-14,Free Time,Activity (per capita),NDVI,7.69,0.235,1-1,#e8e8e8
AH-8,Free Time,Activity (per capita),NDVI,0.95,0.252,1-1,#e8e8e8
L-16,Free Time,Activity (per capita),NDVI,70.47,0.497,3-1,#be64ac
AI-8,Free Time,Activity (per capita),NDVI,5.21,0.529,1-2,#ace4e4
AL-11,Free Time,Activity (per capita),NDVI,2.31,0.672,1-3,#5ac8c8
AF-11,Free Time,Activity (per capita),NDVI,423.14,0.698,3-3,#3b4994
K-20,Free Time,Activity (per capita),NDVI,52.44,0.716,2-3,#5698b9
M-8,Free Time,Activity (per capita),NDVI,48.64,0.769,2-3,#5698b9
AA-2,Free Time,Activity (per capita),NDVI,0.0,0.614,1-3,#5ac8c8
AF-6,Free Time,Activity (per capita),NDVI,90.64,0.66,3-3,#3b4994
AB-6,Free Time,Activity (per capita),NDVI,106.64,0.63,3-3,#3b4994
AB-16,Free Time,Activity (per capita),NDVI,141.88,0.681,3-3,#3b4994
S-19,Free Time,Activity (per capita),NDVI,52.92,0.507,2-2,#a5b4c2
AG-8,Free Time,Activity (per capita),NDVI,1.74,0.221,1-1,#e8e8e8
Q-20,Free Time,Activity (per capita),NDVI,169.79,0.468,3-1,#be64ac
AA-5,Free Time,Activity (per capita),NDVI,53.9,0.514,2-2,#a5b4c2
S-11,Free Time,Activity (per capita),NDVI,31.95,0.138,2-1,#dfb0d6
J-10,Free Time,Activity (per capita),NDVI,5336.02,0.809,3-3,#3b4994
I-20,Free Time,Activity (per capita),NDVI,0.0,0.669,1-3,#5ac8c8
AI-11,Free Time,Activity (per capita),NDVI,159.25,0.671,3-3,#3b4994
Y-7,Free Time,Activity (per capita),NDVI,10.51,0.528,1-2,#ace4e4
AB-11,Free Time,Activity (per capita),NDVI,41.25,0.536,2-2,#a5b4c2
R-6,Free Time,Activity (per capita),NDVI,684.15,0.72,3-3,#3b4994
Q-7,Free Time,Activity (per capita),NDVI,73.97,0.529,3-2,#8c62aa
Y-5,Free Time,Activity (per capita),NDVI,20.7,0.54,2-2,#a5b4c2
AD-19,Free Time,Activity (per capita),NDVI,0.0,0.691,1-3,#5ac8c8
T-9,Free Time,Activity (per capita),NDVI,43.52,0.31,2-1,#dfb0d6
N-17,Free Time,Activity (per capita),NDVI,192.39,0.66,3-3,#3b4994
AJ-21,Free Time,Activity (per capita),NDVI,109.83,0.754,3-3,#3b4994
T-14,Free Time,Activity (per capita),NDVI,12.41,0.351,1-1,#e8e8e8
U-21,Free Time,Activity (per capita),NDVI,66.96,0.571,3-2,#8c62aa
J-18,Free Time,Activity (per capita),NDVI,5.49,0.583,1-2,#ace4e4
K-18,Free Time,Activity (per capita),NDVI,0.0,0.529,1-2,#ace4e4
E-9,Free Time,Activity (per capita),NDVI,0.0,0.483,1-1,#e8e8e8
K-19,Free Time,Activity (per capita),NDVI,0.0,0.601,1-3,#5ac8c8
AC-15,Free Time,Activity (per capita),NDVI,33.32,0.55,2-2,#a5b4c2
F-10,Free Time,Activity (per capita),NDVI,59.42,0.438,2-1,#dfb0d6
K-13,Free Time,Activity (per capita),NDVI,107.16,0.616,3-3,#3b4994
U-17,Free Time,Activity (per capita),NDVI,6.58,0.532,1-2,#ace4e4
Q-22,Free Time,Activity (per capita),NDVI,123.01,0.589,3-2,#8c62aa
V-8,Free Time,Activity (per capita),NDVI,26.13,0.456,2-1,#dfb0d6
V-16,Free Time,Activity (per capita),NDVI,8.94,0.394,1-1,#e8e8e8
AG-16,Free Time,Activity (per capita),NDVI,100.42,0.67,3-3,#3b4994
M-21,Free Time,Activity (per capita),NDVI,63.07,0.745,2-3,#5698b9
O-16,Free Time,Activity (per capita),NDVI,122.35,0.746,3-3,#3b4994
AK-20,Free Time,Activity (per capita),NDVI,0.0,0.564,1-2,#ace4e4
Z-4,Free Time,Activity (per capita),NDVI,46.38,0.559,2-2,#a5b4c2
G-9,Free Time,Activity (per capita),NDVI,1.44,0.2,1-1,#e8e8e8
AH-12,Free Time,Activity (per capita),NDVI,9.88,0.517,1-2,#ace4e4
AB-4,Free Time,Activity (per capita),NDVI,158.85,0.6,3-3,#3b4994
W-15,Free Time,Activity (per capita),NDVI,14.95,0.429,2-1,#dfb0d6
K-12,Free Time,Activity (per capita),NDVI,36.64,0.573,2-2,#a5b4c2
R-7,Free Time,Activity (per capita),NDVI,13.51,0.505,1-2,#ace4e4
AG-20,Free Time,Activity (per capita),NDVI,0.0,0.658,1-3,#5ac8c8
AC-14,Free Time,Activity (per capita),NDVI,90.54,0.517,3-2,#8c62aa
Q-23,Free Time,Activity (per capita),NDVI,26.32,0.606,2-3,#5698b9
AA-11,Free Time,Activity (per capita),NDVI,0.0,0.575,1-2,#ace4e4
AH-18,Free Time,Activity (per capita),NDVI,0.0,0.677,1-3,#5ac8c8
AB-9,Free Time,Activity (per capita),NDVI,196.03,0.625,3-3,#3b4994
T-8,Free Time,Activity (per capita),NDVI,30.92,0.678,2-3,#5698b9
N-21,Free Time,Activity (per capita),NDVI,180.32,0.72,3-3,#3b4994
X-17,Free Time,Activity (per capita),NDVI,41.01,0.376,2-1,#dfb0d6
O-12,Free Time,Activity (per capita),NDVI,9.14,0.592,1-2,#ace4e4
I-16,Free Time,Activity (per capita),NDVI,222.63,0.608,3-3,#3b4994
R-22,Free Time,Activity (per capita),NDVI,22.04,0.7,2-3,#5698b9
S-14,Free Time,Activity (per capita),NDVI,29.78,0.408,2-1,#dfb0d6
T-7,Free Time,Activity (per capita),NDVI,78.34,0.564,3-2,#8c62aa
V-23,Free Time,Activity (per capita),NDVI,0.0,0.626,1-3,#5ac8c8
T-24,Free Time,Activity (per capita),NDVI,317.15,0.494,3-1,#be64ac
S-13,Free Time,Activity (per capita),NDVI,136.55,0.426,3-1,#be64ac
AK-8,Free Time,Activity (per capita),NDVI,0.0,0.564,1-2,#ace4e4
AM-12,Free Time,Activity (per capita),NDVI,283.34,0.854,3-3,#3b4994
AF-10,Free Time,Activity (per capita),NDVI,213.97,0.613,3-3,#3b4994
N-13,Free Time,Activity (per capita),NDVI,90.57,0.63,3-3,#3b4994
I-15,Free Time,Activity (per capita),NDVI,20.36,0.415,2-1,#dfb0d6
N-15,Free Time,Activity (per capita),NDVI,8.44,0.512,1-2,#ace4e4
S-7,Free Time,Activity (per capita),NDVI,35.58,0.517,2-2,#a5b4c2
S-12,Free Time,Activity (per capita),NDVI,29.69,0.171,2-1,#dfb0d6
P-19,Free Time,Activity (per capita),NDVI,10.49,0.688,1-3,#5ac8c8
L-17,Free Time,Activity (per capita),NDVI,61.06,0.561,2-2,#a5b4c2
